institution,year,section,category,restriction,value
lafayette,2025,operating revenues,tuition and fees,without,106717000
lafayette,2025,operating revenues,government grants,without,2506000
lafayette,2025,operating revenues,private gifts and grants,without,7165000
lafayette,2025,operating revenues,endowment support,without,49418000
lafayette,2025,operating revenues,other,without,9170000
lafayette,2025,operating revenues,sales and services of auxiliaries,without,43839000
lafayette,2025,operating revenues,net assets released from restrictions,without,2450000
lafayette,2025,operating expenses,instruction,without,80170000
lafayette,2025,operating expenses,research,without,3422000
lafayette,2025,operating expenses,academic support,without,15021000
lafayette,2025,operating expenses,student services,without,45204000
lafayette,2025,operating expenses,institutional support,without,34628000
lafayette,2025,operating expenses,auxiliary services,without,40305000
lafayette,2025,nonoperating activities,long-term investment return,without,65638000
lafayette,2025,nonoperating activities,long-term investment return,with,54441000
lafayette,2025,nonoperating activities,endowment support,without,-49418000
lafayette,2025,nonoperating activities,endowment support,with,-891000
lafayette,2025,nonoperating activities,endowment capital and other donor restricted gifts,without,13287000
lafayette,2025,nonoperating activities,endowment capital and other donor restricted gifts,with,20590000
lafayette,2025,nonoperating activities,deferred giving net,without,219000
lafayette,2025,nonoperating activities,deferred giving net,with,769000
lafayette,2025,nonoperating activities,change in fair value of interest rate swap agreements,without,35000
lafayette,2025,nonoperating activities,change in postretirement benefits,without,-975000
lafayette,2025,nonoperating activities,loss on disposal of property and equipment,without,6000
lafayette,2025,nonoperating activities,other nonoperating loss,without,-19000
lafayette,2025,nonoperating activities,net assets released from restrictions,without,9473000
lafayette,2025,nonoperating activities,net assets released from restrictions,with,-11923000
lafayette,2025,totals,net assets at beginning of year,without,479782000
lafayette,2025,totals,net assets at beginning of year,with,893542000
lafayette,2025,totals,net assets at end of year,without,520543000
lafayette,2025,totals,net assets at end of year,with,956528000
lafayette,2024,operating revenues,tuition and fees,without,101077000
lafayette,2024,operating revenues,government grants,without,2226000
lafayette,2024,operating revenues,private gifts and grants,without,6958000
lafayette,2024,operating revenues,endowment support,without,47140000
lafayette,2024,operating revenues,other,without,10218000
lafayette,2024,operating revenues,sales and services of auxiliaries,without,42234000
lafayette,2024,operating revenues,net assets released from restrictions,without,2245000
lafayette,2024,operating expenses,instruction,without,73220000
lafayette,2024,operating expenses,research,without,2859000
lafayette,2024,operating expenses,academic support,without,14225000
lafayette,2024,operating expenses,student services,without,40377000
lafayette,2024,operating expenses,institutional support,without,39684000
lafayette,2024,operating expenses,auxiliary services,without,36734000
lafayette,2024,nonoperating activities,long-term investment return,without,62879000
lafayette,2024,nonoperating activities,long-term investment return,with,55184000
lafayette,2024,nonoperating activities,endowment support,without,-47140000
lafayette,2024,nonoperating activities,endowment support,with,-831000
lafayette,2024,nonoperating activities,endowment capital and other donor restricted gifts,without,4559000
